DocType	DocEntry	DocumentNumber	DocumentDate	CustomerCode	CustomerName	LineNum	ItemCode	ItemDesc	Quantity	ReasonCode
Sales Order	65	65	23-01-2007 00:00:00	C60000	SG Electronics	5	P10004	PC Set 2	10		
Sales Order	66	66	26-01-2007 00:00:00	C70000	Aquent Systems	0	C00002	Motherboard P4 Turbo - Asus Chipset	20		
Sales Order	66	66	26-01-2007 00:00:00	C70000	Aquent Systems	1	C00004	Tower Case with Power supply	20		
Sales Order	66	66	26-01-2007 00:00:00	C70000	Aquent Systems	2	C00005	WLAN Card	20		
Sales Order	66	66	26-01-2007 00:00:00	C70000	Aquent Systems	3	C00008	Monitor 19' TFT	30		
Sales Order	66	66	26-01-2007 00:00:00	C70000	Aquent Systems	4	C00009	Keyboard Comfort USB	30		
Sales Order	66	66	26-01-2007 00:00:00	C70000	Aquent Systems	5	C00010	Mouse USB	25		
Sales Order	67	67	03-02-2007 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	30		
Sales Order	67	67	03-02-2007 00:00:00	C20000	Norm Thompson	2	A00005	HP Color Laser Jet 4	38		
Sales Order	67	67	03-02-2007 00:00:00	C20000	Norm Thompson	3	A00006	HP 600 Series Inc	30		
Sales Order	67	67	03-02-2007 00:00:00	C20000	Norm Thompson	4	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	10		
Sales Order	67	67	03-02-2007 00:00:00	C20000	Norm Thompson	5	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	10		
Sales Order	68	68	06-02-2007 00:00:00	C23900	Parameter Technology	0	B10000	Printer Label	400		
Sales Order	69	69	09-02-2007 00:00:00	C30000	Microchips	0	A00001	IBM Infoprint 1312	21		
Sales Order	69	69	09-02-2007 00:00:00	C30000	Microchips	1	A00002	IBM Infoprint 1222	18		
Sales Order	69	69	09-02-2007 00:00:00	C30000	Microchips	2	A00003	IBM Infoprint 1226	21		
Sales Order	69	69	09-02-2007 00:00:00	C30000	Microchips	3	LM4029MC	Memory Chip	50		
Sales Order	70	70	12-02-2007 00:00:00	C40000	Earthshaker Corporation	0	S10000	Server Point 10000	40		
Sales Order	70	70	12-02-2007 00:00:00	C40000	Earthshaker Corporation	1	P10003	PC Set 1	25		
Sales Order	70	70	12-02-2007 00:00:00	C40000	Earthshaker Corporation	2	P10004	PC Set 2	19		
Sales Order	71	71	15-02-2007 00:00:00	C42000	Mashina Corporation	0	C00001	Motherboard P4 Turbo	20		
Sales Order	71	71	15-02-2007 00:00:00	C42000	Mashina Corporation	1	C00002	Motherboard P4 Turbo - Asus Chipset	26		
Sales Order	71	71	15-02-2007 00:00:00	C42000	Mashina Corporation	2	C00003	Intel P4 2.4 GhZ	11		
Sales Order	71	71	15-02-2007 00:00:00	C42000	Mashina Corporation	3	C00004	Tower Case with Power supply	12		
Sales Order	71	71	15-02-2007 00:00:00	C42000	Mashina Corporation	4	C00005	WLAN Card	8		
Sales Order	71	71	15-02-2007 00:00:00	C42000	Mashina Corporation	5	C00006	Network Card10/100	17		
Sales Order	71	71	15-02-2007 00:00:00	C42000	Mashina Corporation	6	C00007	Hard Disk Seagate 400 GB	33		
Sales Order	71	71	15-02-2007 00:00:00	C42000	Mashina Corporation	7	C00008	Monitor 19' TFT	23		
Sales Order	71	71	15-02-2007 00:00:00	C42000	Mashina Corporation	8	C00009	Keyboard Comfort USB	22		
Sales Order	71	71	15-02-2007 00:00:00	C42000	Mashina Corporation	9	C00010	Mouse USB	21		
Sales Order	71	71	15-02-2007 00:00:00	C42000	Mashina Corporation	10	C00011	Memory DDR RAM 512 MB	10		
Sales Order	72	72	18-02-2007 00:00:00	C50000	ADA Technologies	0	B10000	Printer Label	400		
Sales Order	72	72	18-02-2007 00:00:00	C50000	ADA Technologies	1	A00001	IBM Infoprint 1312	30		
Sales Order	72	72	18-02-2007 00:00:00	C50000	ADA Technologies	2	A00005	HP Color Laser Jet 4	30		
Sales Order	72	72	18-02-2007 00:00:00	C50000	ADA Technologies	3	LM4029MC	Memory Chip	100		
Sales Order	73	73	21-02-2007 00:00:00	C60000	SG Electronics	0	A00001	IBM Infoprint 1312	20		
Sales Order	73	73	21-02-2007 00:00:00	C60000	SG Electronics	2	A00004	HP Color Laser Jet 5	27		
Sales Order	74	74	24-02-2007 00:00:00	C70000	Aquent Systems	0	A00005	HP Color Laser Jet 4	25		
Sales Order	74	74	24-02-2007 00:00:00	C70000	Aquent Systems	1	A00006	HP 600 Series Inc	31		
Sales Order	74	74	24-02-2007 00:00:00	C70000	Aquent Systems	2	C00002	Motherboard P4 Turbo - Asus Chipset	20		
Sales Order	74	74	24-02-2007 00:00:00	C70000	Aquent Systems	3	C00004	Tower Case with Power supply	20		
Sales Order	74	74	24-02-2007 00:00:00	C70000	Aquent Systems	4	C00007	Hard Disk Seagate 400 GB	20		
Sales Order	74	74	24-02-2007 00:00:00	C70000	Aquent Systems	5	S10000	Server Point 10000	20		
Sales Order	75	75	07-03-2007 00:00:00	C20000	Norm Thompson	0	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	14		
Sales Order	75	75	07-03-2007 00:00:00	C20000	Norm Thompson	1	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	8		
Sales Order	75	75	07-03-2007 00:00:00	C20000	Norm Thompson	2	P10003	PC Set 1	30		
Sales Order	75	75	07-03-2007 00:00:00	C20000	Norm Thompson	3	P10004	PC Set 2	10		
Sales Order	76	76	10-03-2007 00:00:00	C23900	Parameter Technology	0	A00001	IBM Infoprint 1312	30		
Sales Order	77	77	13-03-2007 00:00:00	C30000	Microchips	0	A00005	HP Color Laser Jet 4	25		
Sales Order	77	77	13-03-2007 00:00:00	C30000	Microchips	1	A00006	HP 600 Series Inc	50		
Sales Order	77	77	13-03-2007 00:00:00	C30000	Microchips	2	LM4029MC	Memory Chip	50		
Sales Order	78	78	16-03-2007 00:00:00	C40000	Earthshaker Corporation	0	S10000	Server Point 10000	20		
Sales Order	78	78	16-03-2007 00:00:00	C40000	Earthshaker Corporation	1	P10003	PC Set 1	10		
Sales Order	78	78	16-03-2007 00:00:00	C40000	Earthshaker Corporation	2	P10004	PC Set 2	10		
Sales Order	79	79	19-03-2007 00:00:00	C42000	Mashina Corporation	2	A00003	IBM Infoprint 1226	40		
Sales Order	79	79	19-03-2007 00:00:00	C42000	Mashina Corporation	3	A00004	HP Color Laser Jet 5	10		
Sales Order	79	79	19-03-2007 00:00:00	C42000	Mashina Corporation	4	A00005	HP Color Laser Jet 4	50		
Sales Order	80	80	22-03-2007 00:00:00	C50000	ADA Technologies	0	B10000	Printer Label	600		
Sales Order	80	80	22-03-2007 00:00:00	C50000	ADA Technologies	1	A00002	IBM Infoprint 1222	20		
Sales Order	80	80	22-03-2007 00:00:00	C50000	ADA Technologies	2	A00003	IBM Infoprint 1226	20		
Sales Order	80	80	22-03-2007 00:00:00	C50000	ADA Technologies	3	LM4029MC	Memory Chip	50		
Sales Order	80	80	22-03-2007 00:00:00	C50000	ADA Technologies	4	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	10		
Sales Order	80	80	22-03-2007 00:00:00	C50000	ADA Technologies	5	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	10		
Sales Order	81	81	25-03-2007 00:00:00	C60000	SG Electronics	0	S10000	Server Point 10000	20		
Sales Order	81	81	25-03-2007 00:00:00	C60000	SG Electronics	1	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	10		
Sales Order	81	81	25-03-2007 00:00:00	C60000	SG Electronics	2	P10003	PC Set 1	5		
Sales Order	82	82	28-03-2007 00:00:00	C70000	Aquent Systems	0	A00004	HP Color Laser Jet 5	20		
Sales Order	82	82	28-03-2007 00:00:00	C70000	Aquent Systems	1	A00005	HP Color Laser Jet 4	20		
Sales Order	83	83	11-08-2013 00:00:00	C99998	Web Customer	0	A00001	IBM Infoprint 1312	1		
Sales Order	84	84	11-08-2013 00:00:00	C99998	Web Customer	0	A00001	IBM Infoprint 1312	1		
Sales Order	85	85	11-08-2013 00:00:00	C99998	Web Customer	0	A00001	IBM Infoprint 1312	1		
Sales Order	86	86	11-08-2013 00:00:00	C99998	Web Customer	0	A00001	IBM Infoprint 1312	1		
Sales Order	87	87	11-08-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	88	88	11-08-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	89	89	12-08-2013 00:00:00	C99998	Web Customer	0	A00001	IBM Infoprint 1312	1		
Sales Order	90	90	13-08-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	91	91	13-08-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	92	92	13-08-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	93	93	13-08-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	94	94	13-08-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	95	95	13-08-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	96	96	13-08-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	97	97	13-08-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	98	98	19-08-2013 00:00:00	C40000	Earthshaker Corporation	0	A00001	IBM Infoprint 1312	1		
Sales Order	99	99	19-08-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	100	100	04-09-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	101	101	01-09-2013 00:00:00	C20000	Norm Thompson	0	A00004	HP Color Laser Jet 5	11		
Sales Order	101	101	01-09-2013 00:00:00	C20000	Norm Thompson	1	A00004	HP Color Laser Jet 5	1		
Sales Order	104	104	16-11-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	105	105	16-11-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	106	106	16-11-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	109	109	26-11-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	110	110	26-11-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	112	112	29-11-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	113	113	29-11-2013 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	121	121	17-06-2014 00:00:00	C30000	Microchips	0	S10000	Server Point 10000	1		
Sales Order	122	122	17-06-2014 00:00:00	C20000	Norm Thompson	0	S10000	Server Point 10000	1		
Sales Order	123	123	17-06-2014 00:00:00	C20000	Norm Thompson	0	S10000	Server Point 10000	1		
Sales Order	125	125	01-07-2014 00:00:00	C40000	Earthshaker Corporation	0	A00002	IBM Infoprint 1222	1		
Sales Order	133	133	07-07-2014 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	133	133	07-07-2014 00:00:00	C20000	Norm Thompson	4	S10000	Server Point 10000	1		
Sales Order	141	141	08-07-2014 00:00:00	C20001	Norm Thompson(MUL)	0	C00001	Motherboard P4 Turbo	1		
Sales Order	146	146	01-08-2014 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	154	154	03-08-2014 00:00:00	C20000	Norm Thompson	0	A00002	IBM Infoprint 1222	1		
Sales Order	155	155	03-08-2014 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	157	157	03-08-2014 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	158	158	03-08-2014 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	159	159	03-08-2014 00:00:00	C20001	Norm Thompson(MUL)	0	A00001	IBM Infoprint 1312	1		
Sales Order	159	159	03-08-2014 00:00:00	C20001	Norm Thompson(MUL)	1	A00002	IBM Infoprint 1222	1		
Sales Order	160	160	03-08-2014 00:00:00	C20001	Norm Thompson(MUL)	0	A00002	IBM Infoprint 1222	1		
Sales Order	161	161	03-08-2014 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	161	161	03-08-2014 00:00:00	C20000	Norm Thompson	1	A00002	IBM Infoprint 1222	1		
Sales Order	164	164	03-08-2014 00:00:00	C20001	Norm Thompson(MUL)	0	A00001	IBM Infoprint 1312	1		
Sales Order	164	164	03-08-2014 00:00:00	C20001	Norm Thompson(MUL)	1	A00002	IBM Infoprint 1222	1		
Sales Order	167	167	04-08-2014 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	168	168	04-08-2014 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	168	168	04-08-2014 00:00:00	C20000	Norm Thompson	1	A00002	IBM Infoprint 1222	1		
Sales Order	169	169	04-08-2014 00:00:00	C20001	Norm Thompson(MUL)	0	A00001	IBM Infoprint 1312	1		
Sales Order	169	169	04-08-2014 00:00:00	C20001	Norm Thompson(MUL)	1	A00002	IBM Infoprint 1222	1		
Sales Order	170	170	04-08-2014 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	1		
Sales Order	170	170	04-08-2014 00:00:00	C20000	Norm Thompson	1	A00002	IBM Infoprint 1222	1		
Sales Order	172	172	04-08-2014 00:00:00	C20001	Norm Thompson(MUL)	0	A00001	IBM Infoprint 1312	1		
Sales Order	172	172	04-08-2014 00:00:00	C20001	Norm Thompson(MUL)	1	A00002	IBM Infoprint 1222	1		
Sales Order	173	173	04-08-2014 00:00:00	C20001	Norm Thompson(MUL)	0	A00001	IBM Infoprint 1312	1		
Sales Order	173	173	04-08-2014 00:00:00	C20001	Norm Thompson(MUL)	1	A00002	IBM Infoprint 1222	1		
Sales Order	179	179	20-08-2014 00:00:00	C20001	Norm Thompson(MUL)	0	A00001	IBM Infoprint 1312	11		
Sales Order	179	179	20-08-2014 00:00:00	C20001	Norm Thompson(MUL)	1	A00001	IBM Infoprint 1312	10		
Sales Order	181	181	20-08-2014 00:00:00	C20001	Norm Thompson(MUL)	0	A00001	IBM Infoprint 1312	5		
Sales Order	181	181	20-08-2014 00:00:00	C20001	Norm Thompson(MUL)	1	A00001	IBM Infoprint 1312	5		
Sales Order	183	183	21-08-2014 00:00:00	C20001	Norm Thompson(MUL)	0	A00001	IBM Infoprint 1312	10		
Sales Order	183	183	21-08-2014 00:00:00	C20001	Norm Thompson(MUL)	1	A00002	IBM Infoprint 1222	10		
Sales Order	188	188	23-08-2014 00:00:00	C23900	Parameter Technology	0	A00001	IBM Infoprint 1312	1		
Sales Order	215	215	30-12-2014 00:00:00	C20000	Norm Thompson	0	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	215	215	30-12-2014 00:00:00	C20000	Norm Thompson	1	50114136000-8389-38	Skirt Long Wide	1		
Sales Order	215	215	30-12-2014 00:00:00	C20000	Norm Thompson	2	50114136001-8389-40	Skirt Long Wide	1		
Sales Order	215	215	30-12-2014 00:00:00	C20000	Norm Thompson	3	50114136002-8389-42	Skirt Long Wide	1		
Sales Order	215	215	30-12-2014 00:00:00	C20000	Norm Thompson	4	Alhpa	Alhpa	1		
Sales Order	215	215	30-12-2014 00:00:00	C20000	Norm Thompson	5	MI00001	AURO ENGINE EXILE - 1	2		
Sales Order	215	215	30-12-2014 00:00:00	C20000	Norm Thompson	6	MI00002	AURO ENGINE EXILE - 2	2		
Sales Order	215	215	30-12-2014 00:00:00	C20000	Norm Thompson	7	MI00003	AURO ENGINE EXILE - 3	2		
Sales Order	215	215	30-12-2014 00:00:00	C20000	Norm Thompson	8	MI00004	AURO ENGINE EXILE - 4	2		
Sales Order	215	215	30-12-2014 00:00:00	C20000	Norm Thompson	9	MI00006	AURO ENGINE EXILE - 6	2		
Sales Order	215	215	30-12-2014 00:00:00	C20000	Norm Thompson	10	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	2		
Sales Order	229	229	25-03-2015 00:00:00	D00000033	Madhu Rao	0	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	229	229	25-03-2015 00:00:00	D00000033	Madhu Rao	2	50114136007-827-42	Skirt Long Wide	1		
Sales Order	232	232	26-03-2015 00:00:00	C10002	Werner Richter	0	50114136009-827-46	Skirt Long Wide	1		
Sales Order	233	233	26-03-2015 00:00:00	3939399	Madhu	0	50114136007-827-42	Skirt Long Wide	1		
Sales Order	234	234	27-03-2015 00:00:00	D00000036	Dharmaraj	0	50114136004-8389-48	Skirt Long Wide	1		
Sales Order	234	234	27-03-2015 00:00:00	D00000036	Dharmaraj	1	50114136003-8389-46	Skirt Long Wide	1		
Sales Order	234	234	27-03-2015 00:00:00	D00000036	Dharmaraj	2	50114136004-8389-48	Skirt Long Wide	1		
Sales Order	234	234	27-03-2015 00:00:00	D00000036	Dharmaraj	3	50114136005-827-38	Skirt Long Wide	1		
Sales Order	234	234	27-03-2015 00:00:00	D00000036	Dharmaraj	4	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	234	234	27-03-2015 00:00:00	D00000036	Dharmaraj	5	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	0	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	1	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	2	50114136000-8389-38	Skirt Long Wide	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	3	50114136003-8389-46	Skirt Long Wide	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	4	50114136002-8389-42	Skirt Long Wide	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	5	50114136002-8389-42	Skirt Long Wide	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	6	50114136000-8389-38	Skirt Long Wide	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	7	50114136001-8389-40	Skirt Long Wide	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	8	50114136001-8389-40	Skirt Long Wide	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	9	50114136004-8389-48	Skirt Long Wide	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	10	50114136003-8389-46	Skirt Long Wide	1		
Sales Order	235	235	28-03-2015 00:00:00	D00000037	Farid	11	50114136004-8389-48	Skirt Long Wide	1		
Sales Order	236	236	28-03-2015 00:00:00	D00000037	Farid	0	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	236	236	28-03-2015 00:00:00	D00000037	Farid	1	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	236	236	28-03-2015 00:00:00	D00000037	Farid	2	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	236	236	28-03-2015 00:00:00	D00000037	Farid	3	50114136003-8389-46	Skirt Long Wide	1		
Sales Order	236	236	28-03-2015 00:00:00	D00000037	Farid	4	50114136000-8389-38	Skirt Long Wide	1		
Sales Order	236	236	28-03-2015 00:00:00	D00000037	Farid	5	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	237	237	29-03-2015 00:00:00	D00000040	Singh	0	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	237	237	29-03-2015 00:00:00	D00000040	Singh	1	50114136007-827-42	Skirt Long Wide	1		
Sales Order	237	237	29-03-2015 00:00:00	D00000040	Singh	2	50114136007-827-42	Skirt Long Wide	1		
Sales Order	237	237	29-03-2015 00:00:00	D00000040	Singh	3	50114136007-827-42	Skirt Long Wide	1		
Sales Order	237	237	29-03-2015 00:00:00	D00000040	Singh	4	50114136007-827-42	Skirt Long Wide	1		
Sales Order	237	237	29-03-2015 00:00:00	D00000040	Singh	5	50114136008-827-44	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	0	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	1	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	2	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	3	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	4	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	5	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	6	50114136004-8389-48	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	7	50114136007-827-42	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	8	50114136007-827-42	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	9	50114136007-827-42	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	10	50114136007-827-42	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	11	50114136008-827-44	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	12	50114136004-8389-48	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	13	50114136007-827-42	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	14	50114136007-827-42	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	15	50114136007-827-42	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	16	50114136007-827-42	Skirt Long Wide	1		
Sales Order	238	238	29-03-2015 00:00:00	D00000040	Singh	17	50114136008-827-44	Skirt Long Wide	1		
Sales Order	239	239	29-03-2015 00:00:00	D00000040	Singh	0	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	239	239	29-03-2015 00:00:00	D00000040	Singh	1	50114136000-8389-38	Skirt Long Wide	1		
Sales Order	239	239	29-03-2015 00:00:00	D00000040	Singh	2	50114136001-8389-40	Skirt Long Wide	1		
Sales Order	239	239	29-03-2015 00:00:00	D00000040	Singh	3	50114136002-8389-42	Skirt Long Wide	1		
Sales Order	239	239	29-03-2015 00:00:00	D00000040	Singh	4	50114136003-8389-46	Skirt Long Wide	1		
Sales Order	239	239	29-03-2015 00:00:00	D00000040	Singh	5	50114136004-8389-48	Skirt Long Wide	1		
Sales Order	240	240	29-03-2015 00:00:00	D00000042	DIET CUSTOMER 1	0	50114136005-827-38	Skirt Long Wide	0.5		
Sales Order	242	242	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	0	50114136005-827-38	Skirt Long Wide	1		
Sales Order	242	242	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	1	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	242	242	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	2	50114136000-8389-38	Skirt Long Wide	1		
Sales Order	242	242	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	3	50114136002-8389-42	Skirt Long Wide	1		
Sales Order	242	242	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	4	50114136003-8389-46	Skirt Long Wide	1		
Sales Order	242	242	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	5	50114136004-8389-48	Skirt Long Wide	1		
Sales Order	243	243	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	0	50114136005-827-38	Skirt Long Wide	1		
Sales Order	243	243	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	1	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	243	243	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	2	50114136000-8389-38	Skirt Long Wide	1		
Sales Order	243	243	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	3	50114136002-8389-42	Skirt Long Wide	1		
Sales Order	243	243	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	4	50114136003-8389-46	Skirt Long Wide	1		
Sales Order	243	243	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	5	50114136004-8389-48	Skirt Long Wide	1		
Sales Order	244	244	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	0	50114136005-827-38	Skirt Long Wide	1		
Sales Order	244	244	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	1	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	244	244	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	2	50114136000-8389-38	Skirt Long Wide	1		
Sales Order	244	244	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	3	50114136002-8389-42	Skirt Long Wide	1		
Sales Order	244	244	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	4	50114136003-8389-46	Skirt Long Wide	1		
Sales Order	244	244	30-03-2015 00:00:00	D00000043	DIET CUSTOMER 2	5	50114136004-8389-48	Skirt Long Wide	1		
Sales Order	245	245	31-03-2015 00:00:00	C9841234592	Madhu	0	50114136006-827-40	Skirt Long Wide	1		
Sales Order	246	246	03-04-2015 00:00:00	C23900	Parameter Technology	0	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	247	247	04-04-2015 00:00:00	C00000000000013	Madhu	0	50114136009-827-46	Skirt Long Wide	0.5		
Sales Order	247	247	04-04-2015 00:00:00	C00000000000013	Madhu	1	50114136007-827-42	Skirt Long Wide	1		
Sales Order	247	247	04-04-2015 00:00:00	C00000000000013	Madhu	2	50114136010-827-48	Skirt Long Wide	5		
Sales Order	247	247	04-04-2015 00:00:00	C00000000000013	Madhu	3	50114136009-827-46	Skirt Long Wide	5		
Sales Order	247	247	04-04-2015 00:00:00	C00000000000013	Madhu	4	50114136008-827-44	Skirt Long Wide	5		
Sales Order	247	247	04-04-2015 00:00:00	C00000000000013	Madhu	5	50114136000-8389_01	Skirt Long Wide_01	1		
Sales Order	248	248	04-04-2015 00:00:00	C00000000000013	Madhu	0	50114136005-827-38	Skirt Long Wide	0.5		
Sales Order	248	248	04-04-2015 00:00:00	C00000000000013	Madhu	1	50114136007-827-42	Skirt Long Wide	1		
Sales Order	248	248	04-04-2015 00:00:00	C00000000000013	Madhu	2	50114136011-996-36R	Leisure Trousers Long	5		
Sales Order	248	248	04-04-2015 00:00:00	C00000000000013	Madhu	3	50114136008-827-44	Skirt Long Wide	5		
Sales Order	248	248	04-04-2015 00:00:00	C00000000000013	Madhu	4	50114136012-996-38R	Leisure Trousers Long	5		
Sales Order	248	248	04-04-2015 00:00:00	C00000000000013	Madhu	5	50114136020-8760-40R	Crop Leisure Trousers	1		
Sales Order	248	248	04-04-2015 00:00:00	C00000000000013	Madhu	6	50114136009-827-46	Skirt Long Wide	0.5		
Sales Order	248	248	04-04-2015 00:00:00	C00000000000013	Madhu	7	50114136013-996-40R	Leisure Trousers Long	1		
Sales Order	248	248	04-04-2015 00:00:00	C00000000000013	Madhu	8	50114136006-827-40	Skirt Long Wide	5		
Sales Order	248	248	04-04-2015 00:00:00	C00000000000013	Madhu	9	50114136014-996-42R	Leisure Trousers Long	5		
